"","ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALKWH","AVERAGEKWH"
"393",93662,3,2020,"Elec- Commercial","Y",0,0,NA
"394",93664,1,2020,"Elec- Commercial","Y",0,0,NA
"395",93664,2,2020,"Elec- Commercial","Y",0,0,NA
"396",93664,3,2020,"Elec- Commercial","Y",0,0,NA
"397",93667,1,2020,"Elec- Commercial","Y",0,0,NA
"398",93667,2,2020,"Elec- Commercial","Y",0,0,NA
"399",93667,3,2020,"Elec- Commercial","Y",0,0,NA
"400",93668,1,2020,"Elec- Commercial","Y",0,0,NA
"401",93668,2,2020,"Elec- Commercial","Y",0,0,NA
"402",93668,3,2020,"Elec- Commercial","Y",0,0,NA
"403",93669,1,2020,"Elec- Commercial","Y",0,0,NA
"404",93669,2,2020,"Elec- Commercial","Y",0,0,NA
"405",93669,3,2020,"Elec- Commercial","Y",0,0,NA
"406",93675,1,2020,"Elec- Commercial","Y",0,0,NA
"407",93675,2,2020,"Elec- Commercial","Y",0,0,NA
"408",93675,3,2020,"Elec- Commercial","Y",0,0,NA
"409",93701,1,2020,"Elec- Commercial","Y",0,0,NA
"410",93701,2,2020,"Elec- Commercial","Y",0,0,NA
"411",93701,3,2020,"Elec- Commercial","Y",0,0,NA
"412",93702,1,2020,"Elec- Commercial","Y",0,0,NA
"413",93702,2,2020,"Elec- Commercial","Y",0,0,NA
"414",93702,3,2020,"Elec- Commercial","Y",0,0,NA
"415",93703,1,2020,"Elec- Commercial","Y",0,0,NA
"416",93703,2,2020,"Elec- Commercial","Y",0,0,NA
"417",93703,3,2020,"Elec- Commercial","Y",0,0,NA
"418",93704,1,2020,"Elec- Commercial","Y",0,0,NA
"419",93704,2,2020,"Elec- Commercial","Y",0,0,NA
"420",93704,3,2020,"Elec- Commercial","Y",0,0,NA
"421",93705,1,2020,"Elec- Commercial","Y",0,0,NA
"422",93705,2,2020,"Elec- Commercial","Y",0,0,NA
"423",93705,3,2020,"Elec- Commercial","Y",0,0,NA
"424",93706,1,2020,"Elec- Commercial","Y",0,0,NA
"425",93706,2,2020,"Elec- Commercial","Y",0,0,NA
"426",93706,3,2020,"Elec- Commercial","Y",0,0,NA
"427",93710,1,2020,"Elec- Commercial","Y",1243,8964512,7212
"428",93710,2,2020,"Elec- Commercial","N",1239,8317983,6713
